filename,width,height,class,xmin,ymin,xmax,ymax
0.jpg,728,485,tire,46,54,430,463
0.jpg,728,485,tire,271,116,626,434
0.jpg,728,485,tire,284,27,558,128
1.jpg,500,341,tire,34,17,472,327
14.jpg,450,456,tire,71,60,400,395
15.jpg,600,400,tire,260,3,489,200
15.jpg,600,400,tire,152,258,421,370
15.jpg,600,400,tire,220,196,449,300
15.jpg,600,400,tire,71,22,252,177
15.jpg,600,400,tire,458,72,600,272
15.jpg,600,400,tire,1,142,62,334
15.jpg,600,400,tire,92,156,282,380
15.jpg,600,400,tire,401,327,572,400
15.jpg,600,400,tire,491,302,600,399
15.jpg,600,400,tire,383,238,584,330
15.jpg,600,400,tire,136,1,285,104
18.jpg,728,485,tire,160,46,627,470
2.jpg,350,314,tire,23,8,221,297
2.jpg,350,314,tire,136,24,337,110
2.jpg,350,314,tire,139,110,342,184
2.jpg,350,314,tire,116,183,332,268
20.jpg,1300,957,tire,141,183,1008,673
23.jpg,600,400,tire,4,266,301,400
23.jpg,600,400,tire,292,306,600,398
23.jpg,600,400,tire,44,192,380,400
23.jpg,600,400,tire,1,102,174,287
23.jpg,600,400,tire,164,115,461,333
23.jpg,600,400,tire,53,26,328,184
23.jpg,600,400,tire,290,86,497,312
23.jpg,600,400,tire,303,49,551,189
23.jpg,600,400,tire,328,1,543,98
28.jpg,450,320,tire,73,130,400,298
28.jpg,450,320,tire,91,32,356,160
28.jpg,450,320,tire,1,125,75,260
3.jpg,640,445,tire,53,57,601,338
38.jpg,972,580,tire,812,471,969,580
38.jpg,972,580,tire,801,325,972,477
38.jpg,972,580,tire,854,159,972,242
38.jpg,972,580,tire,485,478,773,580
38.jpg,972,580,tire,397,416,697,541
38.jpg,972,580,tire,240,509,511,580
38.jpg,972,580,tire,83,496,287,573
38.jpg,972,580,tire,1,436,278,526
38.jpg,972,580,tire,1,353,263,431
38.jpg,972,580,tire,231,330,555,403
38.jpg,972,580,tire,1,248,263,377
38.jpg,972,580,tire,260,268,531,344
38.jpg,972,580,tire,462,241,715,330
38.jpg,972,580,tire,178,114,328,253
38.jpg,972,580,tire,428,121,585,223
38.jpg,972,580,tire,474,168,651,250
38.jpg,972,580,tire,726,193,867,268
38.jpg,972,580,tire,54,193,204,269
4.jpg,1024,768,tire,188,388,810,768
4.jpg,1024,768,tire,73,78,666,404
4.jpg,1024,768,tire,9,376,462,768
4.jpg,1024,768,tire,868,295,1024,748
4.jpg,1024,768,tire,669,206,1024,384
4.jpg,1024,768,tire,610,49,964,289
4.jpg,1024,768,tire,471,6,786,128
4.jpg,1024,768,tire,768,4,1024,127
4.jpg,1024,768,tire,97,13,430,128
44.jpg,1024,682,tire,1,28,847,680
45.jpg,350,426,tire,44,125,291,215
45.jpg,350,426,tire,42,214,296,296
45.jpg,350,426,tire,46,295,301,386
47.jpg,1300,1158,tire,96,250,401,397
47.jpg,1300,1158,tire,141,485,434,623
47.jpg,1300,1158,tire,860,602,1243,807
47.jpg,1300,1158,tire,831,740,1265,907
47.jpg,1300,1158,tire,824,835,1272,1000
47.jpg,1300,1158,tire,386,797,853,947
47.jpg,1300,1158,tire,396,704,834,823
47.jpg,1300,1158,tire,408,633,827,747
47.jpg,1300,1158,tire,415,550,905,683
47.jpg,1300,1158,tire,398,404,851,573
47.jpg,1300,1158,tire,448,273,915,447
47.jpg,1300,1158,tire,527,152,972,300
47.jpg,1300,1158,tire,472,59,934,195
47.jpg,1300,1158,tire,146,485,451,616
47.jpg,1300,1158,tire,203,614,508,707
47.jpg,1300,1158,tire,174,669,479,790
47.jpg,1300,1158,tire,108,395,386,485
47.jpg,1300,1158,tire,724,321,1048,457
47.jpg,1300,1158,tire,777,445,1027,519
47.jpg,1300,1158,tire,770,492,1046,592
59.jpg,450,396,tire,204,56,426,313
59.jpg,450,396,tire,41,115,284,223
59.jpg,450,396,tire,36,207,305,304
60.jpg,453,604,tire,134,290,383,472
60.jpg,453,604,tire,201,227,333,302
60.jpg,453,604,tire,137,228,264,306
63.jpg,480,360,tire,50,118,316,320
7.jpg,598,436,tire,215,3,589,150
7.jpg,598,436,tire,219,151,598,282
7.jpg,598,436,tire,210,275,584,421
7.jpg,598,436,tire,4,15,220,408
74.jpg,600,449,tire,44,6,533,417
75.jpg,640,445,tire,167,71,619,357
77.jpg,600,600,tire,1,182,567,500
84.jpg,597,339,tire,173,67,501,247
86.jpg,736,552,tire,464,352,672,485
86.jpg,736,552,tire,566,265,708,337
86.jpg,736,552,tire,299,259,441,340
86.jpg,736,552,tire,185,211,306,271
